2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 2, Step 900, Buffer Size: 1900, Avg Loss: 50.1747, Reward: -48594
  Episode 2, Step 910, Buffer Size: 1910, Avg Loss: 49.2730, Reward: -48680
  Episode 2, Step 920, Buffer Size: 1920, Avg Loss: 46.5672, Reward: -49129
  Episode 2, Step 930, Buffer Size: 1930, Avg Loss: 48.3794, Reward: -49886
  Episode 2, Step 940, Buffer Size: 1940, Avg Loss: 51.0281, Reward: -50533
  Episode 2, Step 950, Buffer Size: 1950, Avg Loss: 46.8722, Reward: -50872
  Episode 2, Step 960, Buffer Size: 1960, Avg Loss: 45.8239, Reward: -51332
  Episode 2, Step 970, Buffer Size: 1970, Avg Loss: 47.9711, Reward: -52221
  Episode 2, Step 980, Buffer Size: 1980, Avg Loss: 54.3890, Reward: -52857
  Episode 2, Step 990, Buffer Size: 1990, Avg Loss: 48.6995, Reward: -53405
  Episode 2, Step 1000, Buffer Size: 2000, Avg Loss: 50.2805, Reward: -53854
Episode 2 DONE - Total Reward: -53854, Total Steps: 1000, Final Buffer Size: 2000, Avg Loss: 48.3836
  Episode 3, Step 10, Buffer Size: 2010, Avg Loss: 45.7366, Reward: -548
  Episode 3, Step 20, Buffer Size: 2020, Avg Loss: 47.6059, Reward: -997
  Episode 3, Step 30, Buffer Size: 2030, Avg Loss: 46.6401, Reward: -1424
  Episode 3, Step 40, Buffer Size: 2040, Avg Loss: 51.9185, Reward: -2071
  Episode 3, Step 50, Buffer Size: 2050, Avg Loss: 51.0701, Reward: -2938
  Episode 3, Step 60, Buffer Size: 2060, Avg Loss: 48.8921, Reward: -3475
  Episode 3, Step 70, Buffer Size: 2070, Avg Loss: 48.5492, Reward: -4122
  Episode 3, Step 80, Buffer Size: 2080, Avg Loss: 48.6346, Reward: -4472
  Episode 3, Step 90, Buffer Size: 2090, Avg Loss: 49.7392, Reward: -4811
  Episode 3, Step 100, Buffer Size: 2100, Avg Loss: 53.9975, Reward: -5326
  Episode 3, Step 110, Buffer Size: 2110, Avg Loss: 49.9115, Reward: -5885
  Episode 3, Step 120, Buffer Size: 2120, Avg Loss: 48.8517, Reward: -6224
  Episode 3, Step 130, Buffer Size: 2130, Avg Loss: 47.2006, Reward: -7091
  Episode 3, Step 140, Buffer Size: 2140, Avg Loss: 51.9852, Reward: -7661
  Episode 3, Step 150, Buffer Size: 2150, Avg Loss: 52.4025, Reward: -7758
  Episode 3, Step 160, Buffer Size: 2160, Avg Loss: 50.0543, Reward: -8009  0%|          | 3/1000 [00:07<39:24,  2.37s/it]
  Episode 3, Step 170, Buffer Size: 2170, Avg Loss: 49.1171, Reward: -8337
  Episode 3, Step 180, Buffer Size: 2180, Avg Loss: 50.0951, Reward: -8544
  Episode 3, Step 190, Buffer Size: 2190, Avg Loss: 51.8737, Reward: -8993
  Episode 3, Step 200, Buffer Size: 2200, Avg Loss: 46.5556, Reward: -9431
  Episode 3, Step 210, Buffer Size: 2210, Avg Loss: 51.9591, Reward: -10089
  Episode 3, Step 220, Buffer Size: 2220, Avg Loss: 51.4318, Reward: -10637
  Episode 3, Step 230, Buffer Size: 2230, Avg Loss: 51.4697, Reward: -11284
  Episode 3, Step 240, Buffer Size: 2240, Avg Loss: 50.7258, Reward: -11843
  Episode 3, Step 250, Buffer Size: 2250, Avg Loss: 49.4065, Reward: -12809
  Episode 3, Step 260, Buffer Size: 2260, Avg Loss: 51.8014, Reward: -13148
  Episode 3, Step 270, Buffer Size: 2270, Avg Loss: 50.1770, Reward: -13476
  Episode 3, Step 280, Buffer Size: 2280, Avg Loss: 50.9892, Reward: -14112
  Episode 3, Step 290, Buffer Size: 2290, Avg Loss: 49.2433, Reward: -14572
  Episode 3, Step 300, Buffer Size: 2300, Avg Loss: 51.6285, Reward: -14889
  Episode 3, Step 310, Buffer Size: 2310, Avg Loss: 47.8713, Reward: -15030
  Episode 3, Step 320, Buffer Size: 2320, Avg Loss: 50.9640, Reward: -15380
  Episode 3, Step 330, Buffer Size: 2330, Avg Loss: 51.3221, Reward: -15917
  Episode 3, Step 340, Buffer Size: 2340, Avg Loss: 51.6078, Reward: -16685
  Episode 3, Step 350, Buffer Size: 2350, Avg Loss: 52.0624, Reward: -16815
  Episode 3, Step 360, Buffer Size: 2360, Avg Loss: 51.3892, Reward: -17660
  Episode 3, Step 370, Buffer Size: 2370, Avg Loss: 50.4996, Reward: -18329
  Episode 3, Step 380, Buffer Size: 2380, Avg Loss: 52.8878, Reward: -19086
  Episode 3, Step 390, Buffer Size: 2390, Avg Loss: 51.4608, Reward: -19568
  Episode 3, Step 400, Buffer Size: 2400, Avg Loss: 51.5725, Reward: -20237
  Episode 3, Step 410, Buffer Size: 2410, Avg Loss: 49.8579, Reward: -20587
  Episode 3, Step 420, Buffer Size: 2420, Avg Loss: 52.1311, Reward: -21135
  Episode 3, Step 430, Buffer Size: 2430, Avg Loss: 50.8648, Reward: -21683
  Episode 3, Step 440, Buffer Size: 2440, Avg Loss: 47.8898, Reward: -22242
  Episode 3, Step 450, Buffer Size: 2450, Avg Loss: 48.7959, Reward: -22581
  Episode 3, Step 460, Buffer Size: 2460, Avg Loss: 52.4593, Reward: -23008
  Episode 3, Step 470, Buffer Size: 2470, Avg Loss: 49.7662, Reward: -23446
  Episode 3, Step 480, Buffer Size: 2480, Avg Loss: 48.4161, Reward: -23906
  Episode 3, Step 490, Buffer Size: 2490, Avg Loss: 48.7002, Reward: -24146
  Episode 3, Step 500, Buffer Size: 2500, Avg Loss: 48.0835, Reward: -25332
  Episode 3, Step 510, Buffer Size: 2510, Avg Loss: 48.7436, Reward: -25693
  Episode 3, Step 520, Buffer Size: 2520, Avg Loss: 48.8041, Reward: -26109
  Episode 3, Step 530, Buffer Size: 2530, Avg Loss: 50.5577, Reward: -26679
  Episode 3, Step 540, Buffer Size: 2540, Avg Loss: 48.1724, Reward: -27150
  Episode 3, Step 550, Buffer Size: 2550, Avg Loss: 51.2041, Reward: -27599
  Episode 3, Step 560, Buffer Size: 2560, Avg Loss: 52.5428, Reward: -28565
  Episode 3, Step 570, Buffer Size: 2570, Avg Loss: 49.4673, Reward: -29025
  Episode 3, Step 580, Buffer Size: 2580, Avg Loss: 48.7643, Reward: -29375
  Episode 3, Step 590, Buffer Size: 2590, Avg Loss: 50.9075, Reward: -30055
  Episode 3, Step 600, Buffer Size: 2600, Avg Loss: 51.9906, Reward: -30515
  Episode 3, Step 610, Buffer Size: 2610, Avg Loss: 50.8329, Reward: -30953
